Manufacturer,Model,Vehicle_type,Price_in_thousands,Engine_size,Horsepower,Wheelbase,Width,Length,Curb_weight,Fuel_capacity,Fuel_efficiency,Power_perf_factor,Sales_in_thousands,__year_resale_value
Ford,Crown Victoria,Passenger,22.195,4.6,200,114.7,78.2,212,3.908,19,21,80.49953671,63.403,14.21
Ford,Crown Victoria,Passenger,22.195,4.6,200,114.7,78.2,212,3.908,19,21,80.49953671,63.403,14.21
Ford,Explorer,Car,31.93,4,210,111.6,70.2,190.7,3.876,21,19,87.63549578,276.747,16.64
Ford,Windstar,Car,21.41,3,150,120.7,76.6,200.9,3.761,26,21,62.09504839,155.787,13.175
Ford,Expedition,Car,36.135,4.6,240,119,78.7,204.6,4.808,26,16,100.0248023,125.338,23.575
Ford,Ranger,Car,12.05,2.5,119,117.5,69.4,200.7,3.086,20,23,47.38953131,220.65,7.85
Ford,F-Series,Car,26.935,4.6,220,138.5,79.1,224.5,4.241,25.1,18,89.40193473,540.561,15.075
Honda,Civic,Passenger,12.885,1.6,106,103.2,67.1,175.1,2.339,11.9,32,42.87909734,199.685,9.85
Honda,Accord,Passenger,15.35,2.3,135,106.9,70.3,188.8,2.932,17.1,27,54.26954829,230.902,13.21
Honda,CR-V,Car,20.55,2,146,103.2,68.9,177.6,3.219,15.3,24,60.08796662,73.203,17.71
Honda,Passport,Car,26.6,3.2,205,106.4,70.4,178.2,3.857,21.1,19,83.6025008,12.855,17.525
Honda,Odyssey,Car,26,3.5,210,118.1,75.6,201.2,4.288,20,23,85.21769134,76.029,19.49
Hyundai,Accent,Passenger,9.699,1.5,92,96.1,65.7,166.7,2.24,11.9,31,36.67228358,41.184,5.86
Hyundai,Elantra,Passenger,11.799,2,140,100.4,66.9,174,2.626,14.5,27,54.59004516,66.692,7.825
Hyundai,Sonata,Passenger,14.999,2.4,148,106.3,71.6,185.4,3.072,17.2,25,58.758249,29.45,8.91
Infiniti,I30,Passenger,29.465,3,227,108.3,70.2,193.7,3.342,18.5,25,92.43688923,23.713,19.69
Jaguar,S-Type,Passenger,42.8,3,240,114.5,71.6,191.3,3.65,18.4,21,102.1789848,15.467,
Jeep,Wrangler,Car,14.46,2.5,120,93.4,66.7,152,3.045,19,17,48.67289791,55.557,13.475
Jeep,Cherokee,Car,21.62,4,190,101.4,69.4,167.5,3.194,20,20,76.58443962,80.556,13.775
Jeep,Grand Cherokee,Car,26.895,4,195,105.9,72.3,181.5,3.88,20.5,19,80.38777912,157.04,18.81
Lexus,ES300,Passenger,31.505,3,210,105.1,70.5,190.2,3.373,18.5,23,87.21100104,24.072,26.975
Lexus,GS300,Passenger,37.805,3,225,110.2,70.9,189.2,3.638,19.8,23,94.9466984,12.698,32.075
Lexus,GS400,Passenger,46.305,4,300,110.2,70.9,189.2,3.693,19.8,21,125.0133574,3.334,
Lexus,LS400,Passenger,54.005,4,290,112.2,72,196.7,3.89,22.5,22,124.4467163,6.375,40.375
Lexus,LX470,Car,60.105,4.7,230,112.2,76.4,192.5,5.401,25.4,15,105.760458,9.126,
Lexus,RX300,Car,34.605,3,220,103,71.5,180.1,3.9,17.2,21,91.94380156,51.238,
Lincoln,Continental,Passenger,39.08,4.6,275,109,73.6,208.5,3.868,20,22,113.5402069,13.798,20.525
Lincoln,Town car,Passenger,43.33,4.6,215,117.7,78.2,215.3,4.121,19,21,93.9579169,48.911,21.725
Lincoln,Navigator,Car,42.66,5.4,300,119,79.9,204.8,5.393,30,15,123.9720467,22.925,
Mitsubishi,Mirage,Passenger,13.987,1.8,113,98.4,66.5,173.6,2.25,13.2,30,45.83218056,26.232,8.325
Mitsubishi,Eclipse,Passenger,19.047,2.4,154,100.8,68.9,175.4,2.91,15.9,24,62.44196235,42.541,10.395
Mitsubishi,Galant,Passenger,17.357,2.4,145,103.7,68.5,187.8,2.945,16.3,25,58.60677292,55.616,10.595
Mitsubishi,Diamante,Passenger,24.997,3.5,210,107.1,70.3,194.1,3.443,19,22,84.83077858,5.711,16.575
Mitsubishi,3000GT,Passenger,25.45,3,161,97.2,72.4,180.3,3.131,19.8,21,67.54415494,0.11,20.94
Mitsubishi,Montero,Car,31.807,3.5,200,107.3,69.9,186.6,4.52,24.3,18,83.92081504,11.337,19.125
Mitsubishi,Montero Sport,Car,22.527,3,173,107.3,66.7,178.3,3.51,19.5,20,70.66094179,39.348,13.88
Mercury,Mystique,Passenger,16.24,2,125,106.5,69.1,184.8,2.769,15,28,50.99774761,14.351,8.8
Mercury,Cougar,Passenger,16.54,2,125,106.4,69.6,185,2.892,16,30,51.11347426,26.529,13.89
Mercury,Sable,Passenger,19.035,3,153,108.5,73,199.7,3.379,16,24,62.23996663,67.956,11.03
Mercury,Grand Marquis,Passenger,22.605,4.6,200,114.7,78.2,212,3.958,19,21,80.65769646,81.174,14.875
Mercury,Mountaineer,Car,27.56,4,210,111.6,70.2,190.1,3.876,21,18,85.94974425,27.609,20.43
Mercury,Villager,Car,22.51,3.3,170,112.2,74.9,194.7,3.944,20,21,69.671461,20.38,14.795
Mercedes-B,C-Class,Passenger,31.75,2.3,185,105.9,67.7,177.4,3.25,16.4,26,78.28073088,18.392,26.05
Mercedes-B,E-Class,Passenger,49.9,3.2,221,111.5,70.8,189.4,3.823,21.1,25,98.2497375,27.602,41.45
Mercedes-B,S-Class,Passenger,69.7,4.3,275,121.5,73.1,203.1,4.133,23.2,21,125.2738757,16.774,50.375
Mercedes-B,SL-Class,Passenger,82.6,5,302,99,71.3,177.1,4.125,21.1,20,139.9822936,3.311,58.6
Mercedes-B,SLK,Passenger,38.9,2.3,190,94.5,67.5,157.9,3.055,15.9,26,82.80736193,7.998,
Mercedes-B,SLK230,Passenger,41,2.3,185,94.5,67.5,157.3,2.975,14,27,81.84896924,1.526,
Mercedes-B,CLK Coupe,Passenger,41.6,3.2,215,105.9,67.8,180.3,3.213,16.4,26,92.92579177,11.592,
Mercedes-B,CL500,Passenger,85.5,5,302,113.6,73.1,196.6,4.115,23.2,20,141.1009845,0.954,
Mercedes-B,M-Class,Car,35.3,3.2,215,111,72.2,180.6,4.387,19,20,90.49553213,28.976,
Nissan,Sentra,Passenger,13.499,1.8,126,99.8,67.3,177.5,2.593,13.2,30,50.24197791,42.643,8.45
Nissan,Altima,Passenger,20.39,2.4,155,103.1,69.1,183.5,3.012,15.9,25,63.31372783,88.094,11.295
Nissan,Maxima,Passenger,26.249,3,222,108.3,70.3,190.5,3.294,18.5,25,89.42782031,79.853,15.125
Nissan,Quest,Car,26.399,3.3,170,112.2,74.9,194.8,3.991,20,21,71.17166413,27.308,15.38
Nissan,Pathfinder,Car,29.299,3.3,170,106.3,71.7,182.6,3.947,21,19,72.29035508,42.574,17.81
Nissan,Xterra,Car,22.799,3.3,170,104.3,70.4,178,3.821,19.4,18,69.78294434,54.158,
Nissan,Frontier,Car,17.89,3.3,170,116.1,66.5,196.1,3.217,19.4,18,67.88927059,65.005,
Oldsmobile,Cutlass,Passenger,18.145,3.1,150,107,69.4,192,3.102,15.2,25,60.86161155,1.112,11.24
Oldsmobile,Intrigue,Passenger,24.15,3.5,215,109,73.6,195.9,3.455,18,,86.27252291,38.554,
Oldsmobile,Alero,Passenger,18.27,2.4,150,107,70.1,186.7,2.958,15,27,60.72744693,80.255,
Oldsmobile,Aurora,Passenger,36.229,4,250,113.8,74.4,205.4,3.967,18.5,22,103.4416926,14.69,19.89
Oldsmobile,Bravada,Car,31.598,4.3,190,107,67.8,181.2,4.068,17.5,19,80.51167259,20.017,19.925
Oldsmobile,Silhouette,Car,25.345,3.4,185,120,72.2,201.4,3.948,25,22,76.09657042,24.361,15.24
Plymouth,Neon,Passenger,12.64,2,132,105,74.4,174.4,2.559,12.5,29,52.08489875,32.734,7.75
Plymouth,Breeze,Passenger,16.08,2,132,108,71,186.3,2.942,16,27,53.41189767,5.24,9.8
Plymouth,Voyager,Car,18.85,2.4,150,113.3,76.8,186.3,3.528,20,24,60.95118512,24.155,12.025
Plymouth,Prowler,Passenger,43,3.5,253,113.3,76.3,165.4,2.85,12,21,106.9844563,1.872,
Pontiac,Sunfire,Passenger,21.61,2.4,150,104.1,68.4,181.9,2.906,15,27,62.0158703,51.645,13.79
Pontiac,Grand Am,Passenger,19.72,3.4,175,107,70.4,186.3,3.091,15.2,25,70.38973726,131.097,10.29
Pontiac,Firebird,Passenger,25.31,3.8,200,101.1,74.5,193.4,3.492,16.8,25,81.49272616,19.911,17.805
Pontiac,Grand Prix,Passenger,21.665,3.8,195,110.5,72.7,196.5,3.396,18,25,78.31816813,92.364,14.01
Pontiac,Bonneville,Passenger,23.755,3.8,205,112.2,72.6,202.5,3.59,17.5,24,82.6613556,35.945,13.225
Pontiac,Montana,Car,25.635,3.4,185,120,72.7,201.3,3.942,25,23,76.20843952,39.572,
Porsche,Boxter,Passenger,41.43,2.7,217,95.2,70.1,171,2.778,17,22,93.4373307,8.982,41.25
Porsche,Carrera Coupe,Passenger,71.02,3.4,300,92.6,69.5,174.5,3.032,17,21,134.3909754,1.28,60.625
Porsche,Carrera Cabrio,Passenger,74.97,3.4,300,92.6,69.5,174.5,3.075,17,23,135.9147096,1.866,67.55
Saab,5-Sep,Passenger,33.12,2.3,170,106.4,70.6,189.2,3.28,18.5,23,73.50377819,9.191,
Saab,3-Sep,Passenger,26.1,2,185,102.6,67.4,182.2,2.99,16.9,23,76.02304771,12.115,
Saturn,SL,Passenger,10.685,1.9,100,102.4,66.4,176.9,2.332,12.1,33,39.98642475,80.62,9.2
Saturn,SC,Passenger,12.535,1.9,100,102.4,66.4,180,2.367,12.1,33,40.70007242,24.546,10.59
Saturn,SW,Passenger,14.29,1.9,124,102.4,66.4,176.9,2.452,12.1,31,49.86577367,5.223,10.79
Saturn,LW,Passenger,18.835,2.2,137,106.5,69,190.4,3.075,13.1,27,56.29524304,8.472,
Saturn,LS,Passenger,15.01,2.2,137,106.5,69,190.4,2.91,13.1,28,54.81972825,49.989,
Subaru,Outback,Passenger,22.695,2.5,165,103.5,67.5,185.8,3.415,16.9,25,67.7659076,47.107,
Subaru,Forester,Car,20.095,2.5,165,99.4,68.3,175.2,3.125,15.9,24,66.76294331,33.028,
Toyota,Corolla,Passenger,13.108,1.8,120,97,66.7,174,2.42,13.2,33,47.96897242,142.535,10.025
Toyota,Camry,Passenger,17.518,2.2,133,105.2,70.1,188.5,2.998,18.5,27,54.37241965,247.994,13.245
Toyota,Avalon,Passenger,25.545,3,210,107.1,71.7,191.9,3.417,18.5,26,84.91189826,63.849,18.14
Toyota,Celica,Passenger,16.875,1.8,140,102.4,68.3,170.5,2.425,14.5,31,56.49603034,33.269,15.445
Toyota,Tacoma,Car,11.528,2.4,142,103.3,66.5,178.7,2.58,15.1,23,55.29711658,84.087,9.575
Toyota,Sienna,Car,22.368,3,194,114.2,73.4,193.5,3.759,20.9,22,78.02721947,65.119,
Toyota,RAV4,Car,16.888,2,127,94.9,66.7,163.8,2.668,15.3,27,51.95510887,25.106,13.325
Toyota,4Runner,Car,22.288,2.7,150,105.3,66.5,183.3,3.44,18.5,23,62.35557713,68.411,19.425
Toyota,Land Cruiser,Car,51.728,4.7,230,112.2,76.4,192.5,5.115,25.4,15,102.5289842,9.835,34.08
Volkswagen,Golf,Passenger,14.9,2,115,98.9,68.3,163.3,2.767,14.5,26,46.94387676,9.761,11.425
Volkswagen,Jetta,Passenger,16.7,2,115,98.9,68.3,172.3,2.853,14.5,26,47.63823666,83.721,13.24
Volkswagen,Passat,Passenger,21.2,1.8,150,106.4,68.5,184.1,3.043,16.4,27,61.70138136,51.102,16.725
Volkswagen,Cabrio,Passenger,19.99,2,115,97.4,66.7,160.4,3.079,13.7,26,48.90737225,9.569,16.575
Volkswagen,GTI,Passenger,17.5,2,115,98.9,68.3,163.3,2.762,14.6,26,47.94684106,5.596,13.76
Volkswagen,Beetle,Passenger,15.9,2,115,98.9,67.9,161.1,2.769,14.5,26,47.32963226,49.463,
Volvo,S40,Passenger,23.4,1.9,160,100.5,67.6,176.6,2.998,15.8,25,66.1130568,16.957,
Volvo,,Passenger,24.4,1.9,160,100.5,67.6,176.6,3.042,15.8,25,66.4988123,3.545,
Volvo,S70,Passenger,27.5,2.4,168,104.9,69.3,185.9,3.208,17.9,25,70.65449545,15.245,
Volvo,V70,Passenger,28.8,2.4,168,104.9,69.3,186.2,3.259,17.9,25,71.1559776,17.531,
Volvo,C70,Passenger,45.5,2.3,236,104.9,71.5,185.7,3.601,18.5,23,101.6233572,3.493,
Volvo,S80,Passenger,36,2.9,201,109.9,72.1,189.8,3.6,21.1,24,85.73565451,18.969,
